key,en,br,es,pr
WPNLEFT_ACT,wheel left,roda esq.,,
<!MissingKey:1:Optic Shield>,Optic Shield,,,
<!MissingKey:2:Sigma Palace>,Sigma Palace,Palácio Lunar Sigma,Palacio de Sigma,Rolândia
CLEARSAVE_OPTION,Clear save game and reset,Deletar Jogo Salvo e Resetar,Borrar Juego Guardado y Reiniciar,Apagar a poha toda
MANTIS_NAME,Dark Mantis,Dark Mantis,,João Grilo
HERMESLEGS_NAME,Foot Parts H,,,
PANDA7,I know what you are going to say. ,Prevejo o que estás prestes a expressar.,Sé lo que vas a decir.,
YETI1,I will not let you get in our way.,Não deixarei você entrar em nosso caminho.,No permitiré que te interpongas en nuestro camino.,
PANDA6,Is that what Sigma believes? But... That's...,Isso é o que Sigma acredita? Mas isso é...,¿Es eso lo que Sigma cree? Pero... Eso...,
YETI2,Avalanche Yeti! What do you think you're doing?,Avalanche Yeti! O que pensa que está fazendo?,¡Avalanche Yeti!¿Qué crees que estás haciendo?,
PANDA5,That this world wishes for destruction and nothing more?,Que este mundo almeja apenas destruição e nada mais?,¿Que este mundo desea la destrucción y nada más?,
YETI3,We no longer considers your world to be ideal. You old model Reploids have no business here.,Seu mundo não é mais considerado ideal para nós. Dê o fora daqui.,Ya no consideramos que tu mundo sea ideal. Los Reploides de modelo antiguo como tú no tienen nada que hacer aquí.,
PANDA4,"You mean to tell me you've never thought such things yourself, X?","Então dizes tu que nunca pensastes estas coisas por ti mesmo, X?","¿Quieres decirme que nunca has pensado esas cosas tú mismo, X?",
ICARUSBODY2,"This time, I want you to try out Body Parts I.","Desta vez, quero que teste este peitoral... Body Parts I.","Esta vez, quiero que pruebes las Body Parts I.",
YETI4,"No way! If we don't repair this system, the world's ecological balance is at risk!","De jeito nenhum! Se não repararmos este sistema, o balanço ecológico do mundo estará ameaçado!","¡De ninguna manera! ¡Si no reparamos este sistema, el equilibrio ecológico del mundo está en peligro!",
PANDA3,What are you talking about? No Reploid wishes for destruction.,Do que você está falando? Nenhum Reploid deseja destruição.,¿De qué estás hablando? Ningún Reploide desea la destrucción.,
ICARUSBODY3,"If you equip this, you will take less damage than you normally would, and enemies will not be able to knock you back.",Se você equipar esta parte receberá menos dano do que o normal e inimigos não poderão lhe empurrar.,"Si equipas esto, recibirás menos daño de lo que normalmente harías, y los enemigos no podrán empujarte hacia atrás.",
YETI5,"Hmpf. It's too late, X. You and your puny Maverick Hunters have lost!","Hmpf. É tarde demais, X. Você e seus amiguinhos Caçadores de Mavericks já eram!","Hmpf. Es demasiado tarde, X. ¡Tú y tus insignificantes Cazadores de Mavericks han perdido!",
PANDA2,All of history has been spent making things whose sole purpose is to destroy. Missiles... Reploids...,O percurso da história encontra-se marcado de criações cujo único propósito é a destruição. Mísseis... Reploids...,Toda la historia se ha pasado fabricando cosas cuyo único propósito es destruir. Misiles... Reploides...,
PANDA1,Did you know that the earliest form of rocketry was missiles used for war?,"Diga-me, X... Sabias tu que os primeiros motores de propulsão foram criados para mísseis a serem usados em guerra?",¿Sabías que la forma más temprana de cohetería eran misiles usados para la guerra?,
HERMESARMS1,"X... I thought something like this might happen someday, so I've prepared parts for you.","X... Imaginei que algo assim poderia acontecer, então preparei partes para você.","X... Pensé que algo así podría suceder algún día, así que he preparado partes para ti.",
"<!MissingKey:21:I'm counting on you, Zero!>","I'm counting on you, Zero!","Estou contando com você, Zero!",,
HERMESARMS5,"Board the capsule to equip this new ability, X.","Entre na cápsula para equipar esta nova habilidade, X.","Entra a la cápsula para equipar esta nueva habilidad, X.",
<!MissingKey:23:I won't let Vile hold you any longer. You go ahead and take out Sigma!>,I won't let Vile hold you any longer. You go ahead and take out Sigma!,Pode deixar que eu cuido do Vile. Siga em frente e derrote Sigma!,,
"<!MissingKey:24:Zero... Don't you ever get tired of the whole ""justice"" thing?>","Zero... Don't you ever get tired of the whole ""justice"" thing?","Zero... Você não se cansa de toda essa coisa de ""justiça""?",,
"<!MissingKey:25:Sorry to keep you waiting, X. How you've been holding up?>","Sorry to keep you waiting, X. How you've been holding up?","Desculpe por te deixar esperando, X. ",,
PANDA9,"That's why we are forced to fight, you see.",Precisamente por este motivo somos obrigados a lutar.,Es por eso que estamos obligados a luchar.,
ICARUSLEGS3,Equip this part to be able to jump again while in the air and air dash twice.,Elas lhe concederão a habilidade de pular novamente no ar e usar o seu Dash aéreo duas vezes.,Estas partes te daran la habilidad de saltar una vez mas en el aire y podras usar el Dash 2 veces.,
"<!MissingKey:28:Ha ha ha... How I've missed you, Zero!>","Ha ha ha... How I've missed you, Zero!","Ha ha ha... Senti saudades de você, Zero!",,
PANDA8,"You think that idea to be Maverick, don't you?","Presumes que esta concepção é algo naturalmente Maverick, estou certo?","Piensas que esa idea es ser Maverick, ¿verdad?",
ICARUSLEGS2,These new parts... They're Foot Parts I.,"Desta vez, tenho botas para você... Foot Parts I.",Prueba estas nuevas partes... Foot Parts I.,
<!MissingKey:31:Don't you ever get tired of being Sigma's lap dog?>,Don't you ever get tired of being Sigma's lap dog?,E você não se cansa de ser um pau-mandado do Sigma?,,
HERMESBODY1,"X... I thought something like this might happen someday, so I've prepared parts for you.","X... Imaginei que algo assim poderia acontecer, então preparei partes para você.","X... Pensé que algo así podría suceder algún día, así que he preparado partes para ti.",
"<!MissingKey:33:Ha ha ha! C'mon, X! Is that all you've got?>","Ha ha ha! C'mon, X! Is that all you've got?","Ha ha ha! Qual é, X! Já acabou?",,
<!MissingKey:34:Zero!>,Zero!,Zero!,,
"<!MissingKey:35:I told you already, X! I will haunt you to the day you die!>","I told you already, X! I will haunt you to the day you die!","Eu já te falei isso antes, X... Vou te perseguir até o dia da sua morte!",,
MANTIS_WPNMENU,D. Arrow,D. Arrow,D. Arrow,
FINALLUMINE9,That's why you are hesitating. You don't have it in you...,É por isso que você está hesitando em lutar.,,
FINALLUMINE8,"Maverick? You know that's not the case, X.","Maverick? Você sabe que este não é o caso, X...",,
HERMESBODY4,"Board the capsule to equip this new ability, X.","Entre na cápsula para equipar esta nova habilidade, X.","Entra a la cápsula para equipar esta nueva habilidad, X.",
RIGHT_ACT,right,direita,Derecha,direita
INTRO2-8,We new generation Reploids enjoy complete and total immunity to all viruses.,,,
INTRO2-9,So even copying something as dangerous as Sigma provides no risk.,,,
FINALLUMINE3,"Now that you you've defeated Sigma, I supose you're satisfied.",Imagino que esteja satisfeito agora que derrotou Sigma.,,
FINALLUMINE2,Am I OK...? Of course.,"Se eu estou bem? 
É claro que estou.",,
FINALLUMINE1,"Oh, Lumine! Are you OK?",Lumine! Você está bem?,,
HERMESHEAD_DISC,Charges faster.,Carregamento de tiro mais rápido.,Carga más rápido.,
FINALLUMINE7,"Don't tell me you've gone Maverick, too...",Não me diga que você também se tornou Maverick...,,
FINALLUMINE6,Lumine! What are you doing!?,Lumine! O que está dizendo!?,,
FINALLUMINE5,The new generation Reploids have been awakened and the new world is at hand!,Nós Reploids de nova geração despertamos e o novo mundo está próximo!,,
FINALLUMINE4,"But you see, he merely helped my plan along...",Mas ele apenas contribuiu com meu plano...,,
WPNDOWN_ACT,wheel down,roda baixo,,
INTRO2-1,This is X! I'm close to the site of the accident near the Orbital Elevator!,,,
INTRO2-2,The place is crawling with Mavericks! ,,,
INTRO2-3,I'll make my way to the site. Get ready to send rescue mechaniloids on my signal!,,,
INTRO2-4,Roger!,,,
MANOWAR6,Has Sigma made you go Maverick?,Me responda... Sigma fez você se tornar um Maverick?,¿Sigma te ha convertido en un Maverick?,
INTRO2-5,S-Sigma...!?,,,
MANOWAR7,I'm no Maverick... I'm in complete control of myself and my actions...,Eu não sou um Maverick... Estou no controle das minhas próprias ações...,Yo no soy un Maverick... Tengo completo control de mí mismo y mis acciones...,
INTRO2-6,To protect ourselves from damage during the accident...,,,
<!MissingKey:60:Jakob Elevator>,Jakob Elevator,Elevador Orbital Jakob,Elevador Orbital Jakob,Morro do Papagaio
MANOWAR4,"...I'm not doing anything wrong... Who are you, anyway?",...Eu não estou fazendo nada de errado... Quem é você?,"...No estoy haciendo nada malo... ¿Quién eres tú, de todos modos?",quem é vc na fila do pão
INTRO2-7,We had to copy a sturdy Sigma body.,,,
DOWN_ACT,down,baixo,Abajo,baixo
MANOWAR5,I'm Mega Man X. I'm a Maverick Hunter.,Eu sou Mega Man X. Sou um Caçador de Mavericks.,"Yo soy Mega Man X, un  Cazador de Mavericks.",
WPNRESET_ACT,select buster,selec. Buster,,
MANOWAR2,"Return Abel City's energy supply to normal! If you don't, the city will be destroyed!","Retorne o suprimento de energia de Abel City ao normal! Se não, a cidade será destruida!","¡Devuelve el suministro de energía de Abel City a la normalidad! ¡Si no lo haces, la ciudad será destruida!",
MANOWAR3,... ... ...,... ... ...,... ... ...,
MANOWAR1,Gigabolt Manowar! ,Gigabolt Manowar! ,Gigabolt Manowar!,
SUNFLOWER6,No one has the right to put a stop to our plans!,Ninguém tem o direito de deter os nossos planos!,¡Nadie tiene derecho a detener nuestros planes!,
MANTIS8,"Let my blade show you how misguided your so called ""justice"" really is!","Minha lâmina vai te mostrar o quão falha sua ""justiça"" realmente é!",¡Deja que mi espada te muestre lo equivocada que es tu supuesta 'justicia'!,
SUNFLOWER4,"Sorry to disappoint, but no one can control us.","Desculpe desapontá-lo, mas ninguém pode nos controlar.","Siento decepcionarte, pero nadie puede controlarnos.",
SUNFLOWER5,"We may not be the good guys, but we're no monsters.","Talvez nós não sejamos os mocinhos, mas com certeza não somos monstros.","Quizás no seamos los buenos, pero no somos monstruos.",
MANTIS5,"And what exactly is controlling you, X? Your precious ""justice""? Is that it?","E o que está controlando você, X? Sua preciosa ""justiça""? É isso?","¿Y qué es exactamente lo que te controla, X? ¿Tu preciada ""justicia""? ¿Solamente eso?",
SUNFLOWER2,You must have an inkling as to what we're after here.,Então me diga... O que você acha que estamos buscando?,Debes tener una idea de lo que estamos buscando aquí.,
MANTIS4,Then why are you making weapons? Is Sigma controlling you?,Então por que você está fabricando armas? Sigma está te controlando?,"Entonces, ¿por qué estás fabricando armas? ¿Sigma te está controlando?",
SUNFLOWER3,"You Mavericks... You're under Sigma's control, aren't you?","Vocês Mavericks... Estão todos sob o controle de Sigma, não é?","Ustedes los Mavericks... Están bajo el control de Sigma, ¿verdad?",
MANTIS7,"Not surprisingly, you old style Reploids really don't understand a thing.",Vocês Reploids antigos realmente não entendem coisa alguma.,"Como era de esperar, los Reploids de estilo antiguo realmente no entienden nada.",
