key,en,br,es,pr
XDRIVEDODGE_TITLE,Mark of the Ninja,,,
<!MissingKey:1:Tools of the Old World>,Tools of the Old World,,,
WPNLEFT_ACT,wheel left,roda esq.,Rueda Izq.,roda esq.
<!MissingKey:3:New Generation Reploids>,New Generation Reploids,,,
PAUSE_ACT,pause menu,pausar,Pausar,pausar
PREV_ACT,prev weapon,arma anterior,Arma Anterior,arma anterior
<!MissingKey:6:Defeated the Final Boss without taking damage.>,Defeated the Final Boss without taking damage.,Derrotou o Boss Final sem tomar dano.,Derrotaste al Jefe Final sin recibir daño.,Derrotou o Boss Final sem tomar dano.
<!MissingKey:7:Defeated Optic Sunflower without taking damage.>,Defeated Optic Sunflower without taking damage.,Derrotou Optic Sunflower sem tomar dano.,Derrotaste a Optic Sunflower sin recibir daño.,Derrotou Optic Sunflower sem tomar dano.
<!MissingKey:8:At Times Like This>,At Times Like This,,,
<!MissingKey:9:Defeated Secret Boss #3.>,Defeated Secret Boss #3.,Derrotou o Boss Secreto #3.,Derrotaste al Jefe Secreto #3.,Derrotou o Boss Secreto #3.
BOSS_DC,Boss,Chefe,Jefe,Capitão do Mato
<!MissingKey:11:We're No Monsters>,We're No Monsters,,,
DEFAULTARMS_DISC,Default part.,Parte padrão.,Parte Estandar,Parte padrão.
MANTIS8,"Let my blade show you how misguided your so called ""justice"" really is!","Minha lâmina vai te mostrar o quão falha sua ""justiça"" realmente é!",¡Deja que mi espada te muestre lo equivocada que es tu supuesta 'justicia'!,Vô te mostrar aqui como sou bom no meu trabaio!
ICARUSARMS_DISC,Charged shots consume no ammo.,Carregados não gastam munição.,Doble salto y Dash aéreo.,Carregados não gastam munição.
ICARUSLEGS_NAME,Foot Parts I,,Parte de Botas I,Saltos I
MANTIS5,"And what exactly is controlling you, X? Your precious ""justice""? Is that it?","E o que está controlando você, X? Sua preciosa ""justiça""? É isso?","¿Y qué es exactamente lo que te controla, X? ¿Tu preciada ""justicia""? ¿Solamente eso?","Eu tou só trabaiando aqui, sinhô."
MANTIS4,Then why are you making weapons? Is Sigma controlling you?,Então por que você está fabricando armas? Sigma está te controlando?,"Entonces, ¿por qué estás fabricando armas? ¿Sigma te está controlando?",Então por que você está fabricando armas? Sigma está te controlando?
MANTIS7,"Not surprisingly, you old style Reploids really don't understand a thing.",Vocês Reploids antigos realmente não entendem coisa alguma.,"Como era de esperar, los Reploids de estilo antiguo realmente no entienden nada.","Mano, vocês são tudo uns mandados pelo estado."
MANTIS6,Dark Mantis... Your actions are those of a Maverick!,Dark Mantis... Suas ações são as de um Maverick!,Dark Mantis... ¡Tus acciones son las de un Maverick!,João Grilo... Suas ações são as de um Maverick!
WPNRESET_ACT,select buster,selec. Buster,Selec. Buster,selec. Buster
MANTIS1,Hey! What's a Maverick Hunter doing here?,Ei! O que um Caçador de Mavericks está fazendo aqui?,¡Oye! ¿Qué hace un Cazador de Mavericks aquí?,"Vixe, sujô, os tira tão na área."
<!MissingKey:22:Defeated Vile without using special weapons.>,Defeated Vile without using special weapons.,Derrotou Vile sem usar armas especiais.,Derrotaste a Vile sin usar armas especiales.,Derrotou Vile sem usar armas especiais.
"<!MissingKey:23:Who Are You, Anyway?>","Who Are You, Anyway?",,,
MANTIS3,"We new generation Reploids are designed so that we can't go Maverick, kid.","Nós Reploids de Nova Geração fomos criados de forma que não podemos nos tornar Mavericks, garoto.","Nosotros los Reploides de nueva generación, estamos diseñados para que no podamos volvernos Maverick, chico.","Nada a vê, sinhô. Sou trabaiadô."
<!MissingKey:25:Defeated Gigabolt Manowar without equipping any upgrades.>,Defeated Gigabolt Manowar without equipping any upgrades.,Derrotou Gigabolt Manowar sem equipar nenhuma melhoria.,Derrotaste a Gigabolt Manowar sin equipar ninguna mejora.,Derrotou Gigabolt Manowar sem equipar nenhuma melhoria.
MANTIS2,Dark Mantis... You've gone Maverick. I'm putting an end to your weapons production.,Dark Mantis. Você é um Maverick. Estou pondo um fim a sua produção de armas.,Dark Mantis... Te has vuelto Maverick. Le pondre fin a tu producción de tus armas.,João Grilo. Você é um Maverick. Estou pondo um fim a sua produção de armas.
<!MissingKey:27:An Incredible Scientist>,An Incredible Scientist,,,
ACHIEV_ABV,Achiev,Conqst,Logros,Conqst
SECRET2-13,"Then, come to me...","Então, que assim seja...","Entonces, comencemos...","Então, que assim seja..."
SECRET2-12,"Okay, I accept your duel!","Certo, eu aceito seu duelo!","¡Está bien, acepto tu duelo!","Certo, eu aceito seu duelo!"
SECRET2-11,"Serenade, was it? Hmm...","Serenade, não é? Hmm...","¿Serenade, dijiste? Hmm...","Serenade, não é? Hmm..."
ACHIEVEMENTSUNLOCKED,Achievements Earned,Conquistas Desbloqueadas,Logros Desbloqueados,Conquistas Desbloqueadas
XDRIVEDODGE_DISC,Used XDrive during a Desperation Attack.,Usou o XDrive durante um Ataque Desespero.,Usaste XDrive durante un Ataque de Desesperación.,Usou o XDrive durante um Ataque Desespero.
