key,en,br,es,pr
XDRIVEDODGE_TITLE,Mark of the Ninja,,,
<!MissingKey:1:Tools of the Old World>,Tools of the Old World,,,
WPNLEFT_ACT,wheel left,roda esq.,,
<!MissingKey:3:New Generation Reploids>,New Generation Reploids,,,
PAUSE_ACT,pause menu,pausar,Pausar,pausar
PREV_ACT,prev weapon,arma anterior,Arma Anterior,arma anterior
<!MissingKey:6:Defeated the Final Boss without taking damage.>,Defeated the Final Boss without taking damage.,,,
<!MissingKey:7:Defeated Optic Sunflower without taking damage.>,Defeated Optic Sunflower without taking damage.,,,
<!MissingKey:8:At Times Like This>,At Times Like This,,,
BOSS_DC,Boss,Chefe,Jefe,Capitão do Mato
<!MissingKey:10:We're No Monsters>,We're No Monsters,,,
DEFAULTARMS_DISC,Default part.,Parte padrão.,Parte Estandar,
MANTIS8,"Let my blade show you how misguided your so called ""justice"" really is!","Minha lâmina vai te mostrar o quão falha sua ""justiça"" realmente é!",¡Deja que mi espada te muestre lo equivocada que es tu supuesta 'justicia'!,
ICARUSARMS_DISC,Charged shots consume no ammo.,Carregados não gastam munição.,Tiros cargados no consumen munición,
ICARUSLEGS_NAME,Foot Parts I,,Partes de Cañon I,
MANTIS5,"And what exactly is controlling you, X? Your precious ""justice""? Is that it?","E o que está controlando você, X? Sua preciosa ""justiça""? É isso?","¿Y qué es exactamente lo que te controla, X? ¿Tu preciada ""justicia""? ¿Solamente eso?",
MANTIS4,Then why are you making weapons? Is Sigma controlling you?,Então por que você está fabricando armas? Sigma está te controlando?,"Entonces, ¿por qué estás fabricando armas? ¿Sigma te está controlando?",
MANTIS7,"Not surprisingly, you old style Reploids really don't understand a thing.",Vocês Reploids antigos realmente não entendem coisa alguma.,"Como era de esperar, los Reploids de estilo antiguo realmente no entienden nada.",
MANTIS6,Dark Mantis... Your actions are those of a Maverick!,Dark Mantis... Suas ações são as de um Maverick!,Dark Mantis... ¡Tus acciones son las de un Maverick!,
WPNRESET_ACT,select buster,selec. Buster,,
MANTIS1,Hey! What's a Maverick Hunter doing here?,Ei! O que um Caçador de Mavericks está fazendo aqui?,¡Oye! ¿Qué hace un Cazador de Mavericks aquí?,
<!MissingKey:21:Defeated Vile without using special weapons.>,Defeated Vile without using special weapons.,,,
"<!MissingKey:22:Who Are You, Anyway?>","Who Are You, Anyway?",,,
MANTIS3,"We new generation Reploids are designed so that we can't go Maverick, kid.","Nós Reploids de Nova Geração fomos criados de forma que não podemos nos tornar Mavericks, garoto.","Nosotros los Reploids de nueva generación, estamos diseñados para que no podamos volvernos Maverick, chico.",
<!MissingKey:24:Defeated Gigabolt Manowar without equipping any upgrades.>,Defeated Gigabolt Manowar without equipping any upgrades.,,,
MANTIS2,Dark Mantis... You've gone Maverick. I'm putting an end to your weapons production.,Dark Mantis. Você é um Maverick. Estou pondo um fim a sua produção de armas.,Dark Mantis... Te has vuelto Maverick. Le pondre fin a tu producción de tus armas.,Esperança preta
<!MissingKey:26:An Incredible Scientist>,An Incredible Scientist,,,
ACHIEV_ABV,Achiev,Conqst,,
SECRET2-13,"Then, come to me...",,,
SECRET2-12,"Okay, I accept your duel!",,,
SECRET2-11,"Serenade, was it? Hmm...",,,
ACHIEVEMENTSUNLOCKED,Achievements Earned,Conquistas Desbloqueadas,,
XDRIVEDODGE_DISC,Used XDrive during a Desperation Attack.,,,
SECRET2-10,For twenty years I've been amassing power. Now I've choosen you to test my strength against.,,,
SECRET2-17,I wish I had something to reward you. The best I can offer you are my thanks.,,,
SECRET2-16,You fought this duel beautifully. You really are the strongest robot in this world. ,,,
SECRET2-15,"The kindness, love and respect that you possess in your heart makes you even more powerful.",,,
WPNUP_ACT,wheel up,roda cima,,
SECRET2-14,I honestly thought I was strong enough to defeat you. I was wrong.,,,
SECRET2-19,"For now, farewell!",,,
SECRET2-18,"Mega Man X. We shall meet again, in some other place...",,,
<!MissingKey:41:Jakob Elevator>,Jakob Elevator,Elevador Orbital Jakob,Elevador Orbital Jakob,Morro do Papagaio
<!MissingKey:42:Defeated the Impostor without using special weapons.>,Defeated the Impostor without using special weapons.,,,
<!MissingKey:43:Defeated Vile without equipping any upgrades.>,Defeated Vile without equipping any upgrades.,,,
DEFEATEDALL_DISC,Defeated all eight Maverick Bosses.,,,
ICARUSBODY_DISC,Immune to knockback.,Não é empurrado ao tomar dano.,Inmune al empujo al recibir daño,
<!MissingKey:46:Booster Forest>,Booster Forest,Floresta Ergânica,Bosque de Booster,Paudalho
INTRO1-3,"This plan is called the ""Jakob Project"" and an Orbital Elevator was built as part of it.",,,
<!MissingKey:48:Don't Attach Labels to Me>,Don't Attach Labels to Me,,,
YETI_NAME,Avalanche Yeti,Avalanche Yeti,,Aval Lanches e Vet.
INTRO1-2,"Humans however have begun migration to the moon, thanks to new technology.",,,
<!MissingKey:51:Shadow Tactics>,Shadow Tactics,,,
INTRO1-1,"In the year 21XX, the endless Maverick rebellions continue.",,This dialog has been potentially cut?,
